date,fx_rate,DDR1_nominal_USD,DDR1_real_USD,DDR2_nominal_USD,DDR2_real_USD,DDR3_nominal_USD,DDR3_real_USD,DDR4_nominal_USD,DDR4_real_USD,DDR5_nominal_USD,DDR5_real_USD
2006-07-01,1.0,2.380921875,3.832333727513553,4.8984765625,7.8845917377710695,2.73,4.3942101527846225,9.0,14.486407097092163,5.99,9.641508723509117
2006-08-01,1.0,2.3610625,3.783585278459274,4.836718749999999,7.750806197865553,2.73,4.374804906771344,9.0,14.42243375858685,5.99,9.59893091265947
2006-09-01,1.0,2.341203125,3.7702605827785995,4.7749609374999995,7.6895707231570505,2.73,4.396376923076923,9.0,14.493550295857988,5.99,9.64626291913215
2006-10-01,1.0,2.321984375,3.755979361379396,4.7151953125,7.627172891128033,2.73,4.415974442793463,9.0,14.55815750371471,5.99,9.689262605250125
2006-11-01,1.0,2.3021249999999998,3.722011878712871,4.6534375,7.523548743811881,2.73,4.413788316831684,9.0,14.550950495049506,5.99,9.68446594059406
2006-12-01,1.0,2.28290625,3.670949218980798,4.593671875,7.3866967519079285,2.73,4.389883013293945,9.0,14.472141802067949,5.99,9.632014377154112
2007-01-01,1.0,2.263046875,3.6329868844531723,4.531914062499999,7.275317419366928,2.73,4.382611029458751,9.0,14.448168228984894,5.99,9.616058632402169
2007-02-01,1.0,2.2431875,3.587193203852595,4.47015625,7.148450194270073,2.73,4.3656793943964045,9.0,14.392349651856279,5.99,9.578908268291013
2007-03-01,1.0,2.22525,3.5400995041112973,4.414375,7.022728569132146,2.73,4.343094774170921,9.0,14.317894859904136,5.99,9.529354467869531
2007-04-01,1.0,2.205390625,3.498009331715266,4.3526171875,6.903763608435242,2.73,4.330101600745979,9.0,14.275060222239492,5.99,9.500845636801618
2007-05-01,1.0,2.186171875,3.453253852687964,4.2928515625,6.7809426910776045,2.73,4.312278977533796,9.0,14.216304321539988,5.99,9.461740320669392
2007-06-01,1.0,2.1663125,3.413974862956851,4.231093749999999,6.667942739246455,2.73,4.302311589797041,9.0,14.183444801528708,5.99,9.439870484572996
2007-07-01,1.0,2.14709375,3.37767302796684,4.171328125,6.562071404013911,2.73,4.294664527969249,9.0,14.15823470759093,5.99,9.423091766496631
2007-08-01,1.0,2.127234375,3.345400184249303,4.1095703125,6.462925497160117,2.73,4.293340973770508,9.0,14.153871342100576,5.99,9.420187704353605
2007-09-01,1.0,2.107375,3.3001835869132625,4.0478125,6.338940328798785,2.73,4.275224481771496,9.0,14.094146643202734,5.99,9.380437599198263
2007-10-01,1.0,2.08815625,3.2600352472632537,3.9880468749999998,6.226149685991204,2.73,4.262083464792772,9.0,14.050824609206941,5.99,9.351604378794399
2007-11-01,1.0,2.068296875,3.2038520343611565,3.9262890625,6.081935989184619,2.73,4.2288494265630785,9.0,13.941261845812345,5.99,9.278684272935106
2007-12-01,1.0,2.049078125,3.16490967716191,3.8665234374999997,5.972050208830902,2.73,4.2166295727021215,9.0,13.900976613303698,5.99,9.251872212632128
2008-01-01,1.0,2.02921875,3.123467027651833,3.804765625,5.856470613446982,2.73,4.202141826991054,9.0,13.853214814256223,5.99,9.220084081932754
2008-02-01,1.0,2.009359375,3.085438506173391,3.7430078125,5.747513649018276,2.73,4.192006281531077,9.0,13.819800928124428,5.99,9.197845284385036
2008-03-01,1.0,1.99078125,3.0460124567810425,3.685234375,5.638625445366085,2.73,4.177060642404707,9.0,13.77052959034519,5.99,9.16505247179641
2008-04-01,1.0,1.9709218750000002,3.0086632513134406,3.6234765625,5.531330751295912,2.73,4.1674156547101555,9.0,13.738732927615898,5.99,9.143890026268803
2008-05-01,1.0,1.951703125,2.9617989116924095,3.5637109375,5.408094623137848,2.73,4.142900078064013,9.0,13.657912345265977,5.99,9.090099438682579
2008-06-01,1.0,1.93184375,2.9012613024974367,3.501953125,5.259266482976415,2.73,4.099939943806533,9.0,13.516285529032526,5.99,8.99583892432276
2008-07-01,1.0,1.912625,2.8520307808561935,3.4421875,5.1328539067921986,2.73,4.0708680644336495,9.0,13.420444168462579,5.99,8.932051174343428
2008-08-01,1.0,1.892765625,2.8266246281837306,3.3804296875,5.048277336783804,2.73,4.076936485436006,9.0,13.440449951986832,5.99,8.945366134711236
2008-09-01,1.0,1.8729062500000002,2.794577348807778,3.318671875,4.951814993409541,2.73,4.073453309392947,9.0,13.428966954042682,5.99,8.937723561635075
2008-10-01,1.0,1.8536875,2.7898895976865825,3.25890625,4.9048119743542475,2.73,4.108782414341344,9.0,13.54543653079564,5.99,9.01524053549621
2008-11-01,1.0,1.8338281250000001,2.8097482075668654,3.1971484375,4.8985954403937555,2.73,4.182841620807589,9.0,13.78958776090414,5.99,9.177736743090644
2008-12-01,1.0,1.814609375,2.8033834121538526,3.1373828125000003,4.846931276401623,2.73,4.21756705361451,9.0,13.904067209718164,5.99,9.253929176245755
2009-01-01,1.0,1.79475,2.7657033732358816,3.075625,4.739527197274611,2.73,4.20692030028358,9.0,13.868968022912902,5.99,9.230568717472032
2009-02-01,1.0,1.774890625,2.725173265496815,3.0138671875000003,4.627502207429304,2.73,4.191651536165112,9.0,13.81863143790696,5.99,9.197066923673633
2009-03-01,1.0,1.7569531250000001,2.700297923186428,2.9580859375000004,4.54634400882962,2.73,4.195793971622861,9.0,13.832287818536907,5.99,9.206156003670674
2009-04-01,1.0,1.73709375,2.667089655938395,2.896328125,4.446948693696553,2.73,4.191572712015007,9.0,13.818371578071451,5.99,9.196893972516444
2009-05-01,1.0,1.7178750000000003,2.633706192318165,2.8365625000000003,4.348786856521863,2.73,4.185413900911644,9.0,13.79806780520322,5.99,9.183380683685254
2009-06-01,1.0,1.698015625,2.5818312162461012,2.7748046875,4.21908800819987,2.73,4.15096252153266,9.0,13.68449182922855,5.99,9.107789561897668
2009-07-01,1.0,1.6787968750000002,2.5533699403542194,2.7150390625000003,4.129444861561945,2.73,4.152199733614001,9.0,13.688570550375829,5.99,9.110504177416802
2009-08-01,1.0,1.6589375,2.5147442746408597,2.65328125,4.022046540300309,2.73,4.138342686068371,9.0,13.642887976049574,5.99,9.080099886281884
2009-09-01,1.0,1.6390781250000002,2.4798516021305383,2.5915234375000002,3.9208585914373146,2.73,4.1303674123625855,9.0,13.6165958649316,5.99,9.062601025660033
2009-10-01,1.0,1.619859375,2.443439457770809,2.5317578125000004,3.8189715922605996,2.73,4.118005440882365,9.0,13.575842112799007,5.99,9.03547713951845
2009-11-01,1.0,1.6,2.4054282478801663,2.47,3.713379857665007,2.73,4.104261947945533,9.0,13.530533894325934,5.99,9.005322003001371
